text,label_name
according gran company plans production russia company growing,neutral
"technopolis plans develop stages area 100,000 square meters order host companies working computer technologies telecommunications statement said",neutral
international electronic industry company elcoteq laid tens employees tallinn facility earlier layoffs company contracted office workers daily reported,negative
new production plant company increase capacity meet expected increase demand improve use raw materials increase production profitability,positive
according company updated strategy years 2009 2012 basware targets long term net sales growth range 20 operating profit margin 10 net sales,positive
financing aspocomp growth aspocomp growth strategy increasingly focusing technologically demanding printed circuit boards pcbs,positive
quarter 2010 componenta net sales doubled eur131 period year earlier moved pre tax profit pre tax loss eur7,positive
quarter 2010 net sales increased 5.2 eur mn operating profit 34.9 eur 23.5 mn,positive
operating profit rose eur 13.1 mn eur 8.7 mn corresponding period 2007 representing 7.7 net sales,positive
operating profit totalled eur 21.1 mn eur 18.6 mn 2007 representing 9.7 net sales,positive
teliasonera tlsn said offer line strategy increase ownership core business holdings strengthen eesti offering customers,positive
stora enso norske skog real upm kymmene credit suisse raised fair value shares largest nordic forestry groups,positive
purchase agreement tons gasoline delivery hamina terminal finland signed neste oil oyj average index september plus dollars month,positive
finnish talentum reports operating profit increased eur 20.5 mn 2005 eur 9.3 mn 2004 net sales totaled eur mn eur mn,positive
clothing retail chain sepp+ñl+ñ sales increased eur 155.2 mn operating profit rose eur 31.1 mn eur 17.1 mn 2004,positive
consolidated net sales increased 16 reach eur74 .8 operating profit amounted eur0 .9 compared loss eur0 .7 prior year period,positive
foundries division reports sales increased 9.7 eur mn eur 57.5 mn corresponding period 2006 sales machine shop division increased 16.4 eur mn eur 35.4 mn corresponding period 2006,positive
helsinki afx shares closed higher led nokia announced plans team manufacture handsets nokian tyres fourth quarter earnings report analysts expectations dealers said,positive
incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues 2007 2008,positive
board directors propose dividend eur0 .12 share 2010 eur0 .08 share paid 2009,positive
lifetree founded 2000 revenues risen average 40 late 30s,positive
agreement investment construction technology park st petersburg signed course days russian economy opened helsinki today,positive
megafon subscriber base increased 16.1 2009 million users december 31 market share number customers amounted 24 late 2009 23 late 2008 according teliasonera estimates,positive
net income life insurance doubled eur 6.8 mn eur 3.2 mn net income non life insurance rose eur 5.2 mn eur 1.5 mn corresponding period 2009,positive
net sales increased .3 .9 pretax profit rose eur43 .1 eur1 usd1 .4,positive
net sales surged 18.5 .8 teleste said eur20 .4 12.2 sales came acquisitions 2009,positive
nordea group operating profit increased 2010 18 percent year year billion euros total revenue percent billion euros,positive
operating profit month period increased eur13 .6 net sales increased .7 compared corresponding period 2005,positive
operating profit month period increased eur3 .1 net sales increased eur61 .5 compared corresponding period 2007,positive
operating profit month period increased eur1 .2 revenue increased eur20 .2 compared corresponding period 2005,positive
"brazilian unit finnish security solutions provider secure signed 1,500 new clients year online news source web quoted division commercial director vladimir saying",positive
company net profit rose 11.4 year million euros 2005 sales million euros 13.8 year company said earlier,positive
lithuanian beer market million liters january rise 0.8 percent year earlier figure lithuanian brewers association reporting citing results members,positive
viking line cargo revenue increased 5.4 eur mn cargo volume increased 2.4 cargo units,positive
fair value property portfolio doubled result acquisition totalled eur million,positive
10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday 2010 net profit tripled .3 .1 2009 announced proposal raised,positive
helsinki today reported eps eur1 2009 increase eps eur1 .12 2008,positive
aspo plc stock exchange release february 11 2011 esl shipping ltd aspo group signed new long term contract rautaruukki corporation marine transport raw materials baltic sea,positive
commission income increased 22 eur 4.4 mn lending volume rose 13.5,positive
january traffic measured revenue passenger kilometres rpk went 3.2 capacity measured available seat kilometres ask rose 12.2,positive
january september 2010 fiskars net profit went 14 year year eur 65.4 million net sales eur million eur million,positive
net income life insurance rose eur 16.5 mn eur 14.0 mn net income non life insurance eur 22.6 mn eur 15.2 mn 2009,positive
"nyrstar agreed supply talvivaara 150,000 tonnes sulphuric acid annum use talvivaara process period supply zinc concentrate",positive
sales department store division hobby hall increased sales clothing store subsidiary seppala decreased,positive
sales risen export markets,positive
sales increased growing market rates increased operations,positive
agreement strengthens long term partnership nokia siemens networks,positive
agreement signed biohit healthcare ltd uk based subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,positive
company estimates carried investments lead increase net sales 2010 2009 reached eur million,positive
company order book stood 1.5 bln euro 2.2 bln september 30 2007 24.2 pct year international orders amounting 365 mln euro mln,positive
company said paper demand increased main markets including publication papers increased average paper prices percent compared year,positive
world second largest stainless steel maker said net profit month period dec 31 surged million us$ million us$ share million share previous year,positive
framework partnership nokia siemens networks signed initial framework purchase agreement subsidiary jsc largest manufacturer components russia,positive
seppala revenue increased 0.2 eur10 .1 finland revenue went 2.4 eur6 .8 sales abroad rose 6.2 eur3 .3 sales increased baltic countries russia ukraine,positive
