text,label_name
international electronic industry elcoteq laid tens employees tallinn facility earlier layoffs contracted office workers daily reported,negative
link takes users site promising users earn thousands dollars google nasdaq cash,negative
compared ftse 100 index rose points 0.6 day relative price change,negative
compared ftse 100 index rose points 1.6 day relative price change -0.4,negative
challenges oil production north sea scale formation production,negative
jan -- struggling face truck suv date cars,negative
fell pct rose 6.3 pct,negative
pharmaceuticals orion corp reported fall earnings hit larger expenditures r&d marketing,negative
growth margin slowed financial crisis,negative
february based steel maker rautaruukki hel rtrks ruukki today slipped larger expected pretax loss eur46 fourth earlier eur45,negative
adpnews feb based steel maker rautaruukki hel rtrks ruukki today slipped larger expected pretax loss 46 usd fourth,negative
result taxes decreased nearly 14.5 compared nearly 20mn previous accounting,negative
slipped loss 2.6 1.3,negative
23 april construction engineering outotec hel ote1v today slipped loss eur7 .3 eur12 .5 corresponding,negative
cramo slipped pretax loss 6.7 pretax 58.9,negative
solutions provider affecto hel afe1v today slipped loss usd second corresponding earlier,negative
comptel slipped loss eur2 .1 eur6 .6 previous,negative
q2 taxes amounted 13.6 q2,negative
adpnews feb real estate investor sponda hel sda1v today slipped loss usd 11.8,negative
adpnews jul 17 based steel maker rautaruukki ruukki hel rtrks today slipped loss usd half,negative
taxes amounted ago,negative
taxes decreased months compared earlier,negative
taxes decreased 31.6 50.0,negative
taxes 4.0 4.9,negative
taxes fell 21.1 compared 35.8 corresponding,negative
construction expenses gone russia,negative
11 august measuring equipment maker vaisala hel vaias today loss widened eur4 .8 half eur2 .3 corresponding earlier,negative
"power supply solutions systems provider efore loss widened 3.2 euro 4.2 fiscal 2006 ending october 31 900,000 euro 1.2 fiscal 2005 06",negative
"adp news 22 information systems developer solteq hel today loss widened usd 10,000",negative
salonen added data shows producers pulp north america,negative
elcoteq recently announced months previous brought major loss half billion kroons 32 fifth running,negative
cash flow operations recent reached low,negative
rising costs forced packaging producer huhtamaki axe 90 jobs hampshire manufacturing plant,negative
rapidly increasing costs strengthening euro challenging industry impacted results,negative
growth rate national debt extremely,negative
loss increased loss 10.8 2005,negative
payment litas interest long term loan provided ragutis majority shareholder estonia le coq added losses,negative
moment ban continues long problem,negative
suominen corporation makes wet wipes nonwovens flexible packaging starting employer employee negotiations tampere plant lay 25 employees,negative
according purchases cash register computer total sum key,negative
according staff laid temporarily necessary,negative
result negotiations employment 130 blue white collar employees oulu plant terminated,negative
software hardware developer elektrobit hel ebg1v eb today temporarily lay 200 people maximum 90 day achieve cost savings 1.7 usd second half,negative
hand sawmills production decreased,negative
sanoma learning literature media sanoma decreased 3.6 january june totalling corresponding,negative
employing 112 abroad unit recorded 8.6 loss 1.6,negative
jp morgan expects lower growth forecast current guidance 23 25 pct margin target current 34 35 pct,negative
furthermore passenger cars light commercial vehicles country declined 5.4 month,negative
firm tietoenator general trend holding flat earlier gains,negative
profitability ebit 13.6 compared 14.3 q2,negative
large stocks lower,negative
mid strength beer decreased 40,negative
teliasonera underlying results included skr positive offs adjusted underlying ebitda actually amounts bln skr clearly expectations analysts,negative
insurance kesko ending loyal customer cooperation,negative
daily kauppalehti supplier rautaruukki raised prices aker zone,negative
shares royal sun alliance continued slide 12 month high month potential takeover bid,negative
managing director comments notably lower especially russia baltic countries,negative
super chief technology officer technologies llc st paul minn based maker patch management tools,negative
original participants dropped effects,negative
aspocomp large factory china factory building project india financing problems,negative
secure point logical weakness numbers card approach,negative
en route port turku stockholm got stuck ice pm wednesday star journey swedish port northwestern estonia cut short thursday,negative
weak snow conditions nearly affected result chief executive roger talermo,negative
danish acknowledged patent held metso,negative
liquidity providing interrupted 11 aspocomp shares traded 0.50 cent aspocomp stock exchange release,negative
adp news feb 13 retailer kesko hel today total excluding value added tax vat stood usd january 15.2,negative
low capacity rate steel production considerably increases fixed costs unit steel produced,negative
asian traffic declined 3.4 cent,negative
plumbing heating systems supplier uponor temporarily laying workforce weeks mid july,negative
metal sector componenta laying temporarily staff pori mill christmas january,negative
according aktia asset management analysts forecasts high,negative
reorganisation measures place spring 2006 tamglass start personnel negotiations affect entire staff 33,negative
benefon target lay temporarily permanently 20 salo plant staff,negative
cash flow investments totalled compared corresponding,negative
lay offs affect 240 people total okmetic employees,negative
majority personnel temporarily laid weeks february june,negative
55 workers àm+ñl affected close,negative
based stockmann closed seven sports stores russia,negative
sampo bank danske bank lay staff support functions,negative
scanfil systems supplier contract manufacturer communications sector notice 20 productional employees temporarily lay 15 employees plant sievi,negative
scanfil systems supplier contract manufacturer communications sector start personnel negotiations oulu lay staff temporarily,negative
additionally terminate maximum salaried senior salaried employees employment contracts,negative
city insurance insurance pay compensation,negative
result decided implement fixed term temporary lay offs,negative
result temporarily lay 25 personnel approximately 270 persons factories,negative
result negotiations employment contracts terminated 13,negative
result negotiations terminate total employment contracts,negative
"conditions temporarily lay 3,200 people different sites",negative
announced november close operations,negative
addition 29 employees laid notice workforce laid short periods needed,negative
metso foundries jyvaskyla inc begin personnel negotiations temporary lay offs personnel reductions jyvaskyla,negative
national juhani met parties wednesday far apart views propose mediation,negative
stora enso largest october close mills,negative
temporary lay offs entire workforce implemented,negative
contracts employees blue collar workers ended march august 2011,negative
current lay offs additional temporary lay offs agreed december,negative
decision means temporary lay offs fixed duration nastola jyvaskyla units southern central respectively,negative
negotiation resulted reduction 80 people regular employment half covered pension arrangements,negative
number permanent reductions clerical workers 22 employees 19,negative
personnel reduction carried hollola jyvaskyla jarvenpaa turku valkeakoski units,negative
reduction notice applied 17 people,negative
18 march today talvivaara,negative
total 140 jobs reduced raahe steel works,negative
result 20 persons longer needed,negative
biohit reduce number leased personnel 10 lay 10 personnel,negative
sports equipment amer sports decided lay workers salomon division france,negative
addition reduce maximum jobs,negative
pharmaceutical orion corporation omx helsinki wednesday january concluded personnel negotiations reduce number personnel,negative
"konecranes previously communicated estimated reduction 1,600 employees level",negative
paper stocks biggest fallers stora enso pct real pct upm kymmene 1.14 pct lower,negative
decided end temporarily shut plant extend maintenance facility,negative
employment contracts 14 employees end march result previous employer employee talks,negative
staff reduction start immediately glaston added,negative
total headcount reduction 50 persons,negative
workforce reduced office netherlands,negative
personnel reductions primarily affect working parent diagnostics production logistics liquid handling,negative
"fiscal efore swung loss 400,000 versus 200,000 corresponding fiscal",negative
konecranes kcr1v fell 5.5 percent euros biggest fall june,negative
financial 2006 expected eur20 result ebit expected loss announced,negative
loss totaled 25mn compared corresponding 2005,negative
production levels agreed producers long time ago fall consumption lead losses,negative
return investment 4.1 compared 43.8 half,negative
ssh communications security corp stock exchange release october 14 pm updates outlook estimates results remain loss,negative
sale result capital loss eur5 solidium obtained tikkurila shares march,negative
result taxes,negative
37.5 48.2 result taxes loss,negative
total 16.5 passenger ship took place northern baltic sea slightly 16.5 2006,negative
media talentum issued warning,negative
shipping finnlines pretax loss totalled 6.5 compared 0.3,negative
city forssa pay compensation food industry companies hk ruokatalo atria tap water march,negative
ab fell 8.9 percent kronor lowest close dec 11,negative
according ceo matti parent hkscan performance remained clearly level corresponding,negative
cencorp estimated .2 compared eur4 .5,negative
diluted earnings eps stood 0.25 versus 0.42,negative
earnings eps amounted loss eur0,negative
earnings eps amounted loss eur0 .38,negative
earnings eps amounted loss eur0,negative
earnings loss eur0,negative
ratio 102.6 compared corresponding 2005,negative
automation solutions developer cencorp corporation omx helsinki cnc1v issued thursday 18 september warning,negative
communication electronics components supplier scanfil tuesday half 2006 15 lower ago,negative
forest industry stora enso issued thursday 20 march warning,negative
technology raute corporation omx helsinki rutav issued tuesday 23 september warning financial,negative
q1 loss totalled 0.3 compared 3.6 q1,negative
reporting eps stood eur0 .07 versus eur0,negative
8.3 passengers airline percent,negative
loss financial items totalled 9.7 compared 1.3 corresponding,negative
loss totalled 15.6 compared 6.3,negative
paper plant germany revenues half loss eur12 reuters,negative
nokia siemens networks past years,negative
loss amounted 0.9 half 2006 compared 0.5 half 2005,negative
loss pulp paper machinery unit 3mn september august compared 3.7 earlier,negative
loss totaled 0.3 compared 2.2 corresponding,negative
loss totaled 0.8 compared 0.5,negative
loss totalled 12.7 compared 17.7 half,negative
loss totalled 3.2 compared 7.2,negative
loss totalled 4.0 compared 8.6 second,negative
loss totalled 5.2 compared loss 3.4 corresponding,negative
non recurring items 8.3 months compared 8.4 corresponding,negative
pretax loss totaled compared loss corresponding,negative
pretax loss totalled compared,negative
pretax loss totalled compared loss 15.4 corresponding,negative
pretax totaled 4.9 compared 5.2 2005,negative
publishing sweden loss 1.1 q1 compared 0.6 ago,negative
raw materials prices surged past rapid china india developing,negative
qualcomm fewer phones earlier versions lower rates,negative
reported today loss eur0 .1 eur4 .5,negative
annual loss amounted eek compared eek 7.3,negative
fair value change investment properties 15.8 compared,negative
stock hit warning rival rautaruukki omx rtrks,negative
bank àland àlandsbanken issued warning,negative
forest machinery manufacturer ponsse issued warning,negative
capital management lp backed printing paper maker newpage corp posted mixed second results cloud planned initial public offering,negative
electronics manufacturing ems elcoteq se posted loss euro 91.2 half compared 7.1 euro 9.8 2006,negative
laboratory liquid handling diagnostic test systems developer biohit omx helsinki biobv issued tuesday june warning financial,negative
retail software developer aldata solution reported loss 11.7 euro versus 2.5 euro 3.7 2006,negative
textiles clothing marimekko posted euro 2006 compared 8.4 euro 10.9 2005,negative
stora enso loss compared previous,negative
january june diluted loss stood eur0 .3 versus eur0 .1 half,negative
october upm reported loss compared,negative
loss amounted 0.7 compared 0.8 second 2005,negative
loss non recurring items 0.9 compared 11.5,negative
margin 8.3 compared 11.8 earlier,negative
1.6 2005 compared 5.9 2004,negative
result showed loss 2.9 showed 0.6,negative
performance 2006 impacted consolidation trend telecom sector overall structural changes contract manufacturing telecommunications technology industrial electronics,negative
salcomp maker mobile phone chargers monday posted eur1 loss second compared previous,negative
scanfil issued warning,negative
scanfil issued warning 10 april 2006,negative
loss amounted 0.8 compared 3.9 earlier,negative
end cash cash totaled eur6 .5 compared eur10 .5 previous,negative
index figure given power fortum 4.5,negative
real estate posted loss x201a -¼ x201a -¼ 0.21 compared x201a -¼ 31 x201a -¼ 0.11 corresponding,negative
competition situation production automation affected 2006 cencorp,negative
