text,label_name
production plant increase capacity meet expected increase demand improve use raw materials increase production profitability,positive
according updated strategy years 2012 basware targets long term growth range 20 margin 10,positive
financing aspocomp growth aspocomp growth strategy increasingly focusing technologically demanding printed circuit boards pcbs,positive
componenta doubled eur131 earlier moved pre tax pre tax loss eur7,positive
increased 5.2 34.9 23.5,positive
rose 13.1 8.7 corresponding representing 7.7,positive
totalled 21.1 18.6 representing 9.7,positive
teliasonera tlsn offer line strategy increase ownership core holdings strengthen eesti offering customers,positive
stora enso norske skog real upm kymmene credit suisse raised fair value shares largest nordic forestry groups,positive
purchase agreement tons gasoline delivery hamina terminal signed neste oil average index september plus dollars month,positive
talentum reports increased 20.5 2005 9.3 2004 totaled,positive
clothing retail chain sepp+ñl+ñ increased 155.2 rose 31.1 17.1 2004,positive
consolidated increased 16 reach eur74 .8 amounted eur0 .9 compared loss eur0 .7 prior,positive
foundries division reports increased 9.7 57.5 corresponding 2006 machine shop division increased 16.4 35.4 corresponding 2006,positive
helsinki afx shares closed higher led nokia announced plans team manufacture handsets nokian tyres fourth earnings report analysts expectations dealers,positive
incap contract manufacturing pvt ltd subsidiary incap corporation plans double revenues,positive
board directors propose dividend eur0 .12 eur0 .08 paid,positive
lifetree founded 2000 revenues risen average 40 late 30s,positive
agreement investment construction technology park st petersburg signed course days russian economy opened helsinki today,positive
megafon subscriber base increased 16.1 users december 31 number customers amounted 24 late 23 late according teliasonera estimates,positive
income life insurance doubled 6.8 3.2 income non life insurance rose 5.2 1.5 corresponding,positive
increased .3 .9 pretax rose eur43 .1 eur1 usd1 .4,positive
surged 18.5 .8 teleste eur20 .4 12.2 came acquisitions,positive
nordea increased 18 percent billion euros total revenue percent billion euros,positive
month increased eur13 .6 increased .7 compared corresponding 2005,positive
month increased eur3 .1 increased eur61 .5 compared corresponding,positive
month increased eur1 .2 revenue increased eur20 .2 compared corresponding 2005,positive
"brazilian unit security solutions provider secure signed 1,500 clients online news source web quoted division commercial director vladimir saying",positive
rose 11.4 euros 2005 euros 13.8 earlier,positive
lithuanian beer liters january rise 0.8 percent earlier figure lithuanian brewers association reporting citing results members,positive
viking line cargo revenue increased 5.4 cargo volume increased 2.4 cargo units,positive
fair value property portfolio doubled result acquisition totalled,positive
10 february 2011 media sanoma hel saa1v yesterday tripled .3 .1 announced proposal raised,positive
helsinki today reported eps eur1 increase eps eur1 .12,positive
aspo plc stock exchange release february 11 2011 esl shipping ltd aspo signed long term contract rautaruukki corporation marine transport raw materials baltic sea,positive
commission income increased 22 4.4 lending volume rose 13.5,positive
january traffic measured revenue passenger kilometres rpk went 3.2 capacity measured available seat kilometres ask rose 12.2,positive
january september fiskars went 14 65.4,positive
income life insurance rose 16.5 14.0 income non life insurance 22.6 15.2,positive
"nyrstar agreed supply talvivaara 150,000 tonnes sulphuric acid annum use talvivaara process supply zinc concentrate",positive
department store division hobby hall increased clothing store subsidiary seppala decreased,positive
risen export markets,positive
increased growing rates increased operations,positive
